Category,Description,Amount,Date
food,subway italian bmt,47.11,2022-02-07
food,chipotle burrito bowl,66.04,2023-08-11
food,whole foods organic veggies,55.24,2021-05-30
food,starbucks latte,137.5,2022-12-08
food,kfc chicken bucket,26.21,2021-06-06
food,chipotle burrito bowl,14.02,2022-11-04
food,starbucks latte,125.8,2022-01-21
food,burger king whopper,82.62,2024-08-20
food,burger king whopper,63.31,2020-07-28
food,panera bread soup,113.74,2022-08-24
food,whole foods organic veggies,128.38,2020-10-10
food,whole foods organic veggies,12.24,2021-05-27
food,pizza hut cheese burst,76.53,2022-01-23
food,panera bread soup,13.59,2024-05-31
food,burger king whopper,114.81,2021-05-07
food,subway italian bmt,49.47,2023-01-30
food,domino's pepperoni pizza,119.5,2024-07-12
food,subway italian bmt,52.88,2021-06-19
food,kfc chicken bucket,4.04,2023-10-21
food,kfc chicken bucket,12.35,2020-05-18
food,kfc chicken bucket,132.91,2021-04-02
food,chipotle burrito bowl,16.85,2022-10-04
food,domino's pepperoni pizza,113.8,2024-01-11
food,mcdonald's combo meal,138.95,2021-05-15
food,mcdonald's combo meal,53.62,2020-09-25
food,burger king whopper,85.15,2023-05-01
food,whole foods organic veggies,78.03,2021-10-30
food,chipotle burrito bowl,34.39,2021-01-13
food,kfc chicken bucket,145.41,2021-04-18
food,mcdonald's combo meal,34.18,2024-11-09
food,chipotle burrito bowl,21.84,2020-06-11
food,panda express orange chicken,129.95,2024-07-23
food,mcdonald's combo meal,76.96,2022-05-28
food,local farmers market,27.11,2021-12-27
food,local farmers market,142.78,2020-11-16
food,whole foods organic veggies,103.65,2022-03-17
food,local farmers market,70.33,2022-01-02
food,local farmers market,135.2,2024-06-12
food,burger king whopper,20.25,2023-08-10
food,starbucks latte,138.32,2022-01-18
food,burger king whopper,83.3,2022-10-31
food,panda express orange chicken,16.78,2024-02-29
food,panda express orange chicken,28.59,2021-03-05
food,mcdonald's combo meal,58.37,2023-11-04
food,domino's pepperoni pizza,56.98,2024-01-21
food,mcdonald's combo meal,72.87,2024-07-31
food,mcdonald's combo meal,130.18,2021-11-26
food,pizza hut cheese burst,11.37,2020-09-20
food,subway italian bmt,128.99,2024-03-16
food,pizza hut cheese burst,140.51,2024-05-10
food,domino's pepperoni pizza,7.41,2022-04-04
food,burger king whopper,132.23,2024-11-01
food,panera bread soup,100.69,2020-03-19
food,subway italian bmt,103.77,2023-07-24
food,mcdonald's combo meal,66.89,2023-02-10
food,kfc chicken bucket,102.82,2021-06-30
food,local farmers market,92.99,2021-03-15
food,chipotle burrito bowl,146.72,2021-06-14
food,burger king whopper,81.39,2024-10-21
food,domino's pepperoni pizza,60.51,2021-12-12
food,kfc chicken bucket,96.32,2020-09-10
food,chipotle burrito bowl,39.02,2020-08-31
food,panda express orange chicken,123.39,2020-02-19
food,panera bread soup,65.05,2020-01-18
food,pizza hut cheese burst,118.94,2022-02-07
food,whole foods organic veggies,48.16,2020-12-11
food,starbucks latte,47.92,2023-04-10
food,burger king whopper,42.77,2021-06-18
food,starbucks latte,99.04,2024-04-25
food,starbucks latte,8.97,2020-08-13
food,local farmers market,44.56,2024-04-03
food,local farmers market,149.91,2021-02-06
food,panda express orange chicken,113.06,2020-04-03
food,starbucks latte,91.43,2020-05-12
food,starbucks latte,73.12,2021-02-11
food,kfc chicken bucket,30.69,2022-03-29
food,starbucks latte,121.15,2023-12-14
food,mcdonald's combo meal,113.49,2023-04-08
food,pizza hut cheese burst,60.66,2023-04-23
food,mcdonald's combo meal,123.31,2022-11-21
food,pizza hut cheese burst,74.73,2020-08-17
food,subway italian bmt,9.07,2021-10-29
food,subway italian bmt,30.23,2022-01-08
food,burger king whopper,60.78,2022-11-30
food,local farmers market,83.81,2022-02-13
food,domino's pepperoni pizza,52.12,2022-11-13
food,panera bread soup,134.11,2023-02-01
food,pizza hut cheese burst,29.5,2023-06-24
food,whole foods organic veggies,11.05,2022-10-29
food,subway italian bmt,16.66,2021-02-14
food,subway italian bmt,45.57,2022-05-05
food,panda express orange chicken,62.08,2023-07-21
food,panera bread soup,118.41,2024-03-18
food,starbucks latte,71.67,2024-11-27
food,subway italian bmt,41.68,2022-01-01
food,starbucks latte,79.33,2021-08-20
food,chipotle burrito bowl,147.63,2024-05-05
food,pizza hut cheese burst,113.71,2021-03-06
food,starbucks latte,99.21,2022-10-11
food,local farmers market,27.93,2020-12-06
food,domino's pepperoni pizza,14.8,2024-03-16
food,local farmers market,145.86,2020-08-04
food,kfc chicken bucket,6.46,2020-10-27
food,starbucks latte,139.15,2020-05-07
food,starbucks latte,84.28,2020-09-01
food,panera bread soup,39.11,2022-03-19
food,mcdonald's combo meal,71.12,2024-09-13
food,kfc chicken bucket,111.06,2023-01-14
food,pizza hut cheese burst,14.42,2020-02-11
food,panera bread soup,80.82,2020-04-24
food,mcdonald's combo meal,140.59,2023-11-11
food,mcdonald's combo meal,32.15,2024-07-28
food,panda express orange chicken,129.03,2021-09-24
food,burger king whopper,38.04,2024-03-25
food,burger king whopper,101.52,2024-09-06
food,pizza hut cheese burst,4.55,2024-01-12
food,whole foods organic veggies,148.04,2024-03-03
food,subway italian bmt,85.5,2023-04-30
food,local farmers market,25.59,2024-07-21
food,mcdonald's combo meal,105.41,2024-06-21
food,panda express orange chicken,3.25,2021-02-14
food,kfc chicken bucket,70.4,2022-10-23
food,subway italian bmt,103.89,2022-09-30
food,chipotle burrito bowl,83.3,2020-04-12
food,whole foods organic veggies,73.78,2023-09-30
food,local farmers market,52.87,2021-07-24
food,pizza hut cheese burst,3.95,2021-07-10
food,burger king whopper,133.28,2022-08-11
food,local farmers market,84.78,2020-03-23
food,whole foods organic veggies,32.41,2024-10-03
food,panda express orange chicken,61.07,2021-12-24
food,whole foods organic veggies,6.38,2022-09-01
food,starbucks latte,144.77,2023-03-21
food,pizza hut cheese burst,59.95,2021-09-03
food,local farmers market,50.83,2021-06-15
food,chipotle burrito bowl,132.99,2021-03-30
food,pizza hut cheese burst,36.36,2020-09-02
food,domino's pepperoni pizza,85.26,2020-09-18
food,subway italian bmt,94.38,2021-06-19
food,subway italian bmt,106.02,2020-05-12
food,burger king whopper,42.46,2021-10-03
food,pizza hut cheese burst,75.21,2020-12-09
food,kfc chicken bucket,46.06,2020-04-21
food,panera bread soup,126.4,2022-04-02
food,whole foods organic veggies,76.18,2021-05-14
food,domino's pepperoni pizza,89.15,2022-07-10
food,starbucks latte,115.13,2020-05-17
food,mcdonald's combo meal,118.09,2024-03-26
food,local farmers market,133.6,2020-10-22
food,starbucks latte,94.61,2023-09-11
food,starbucks latte,16.97,2024-08-19
food,starbucks latte,22.15,2021-08-03
food,starbucks latte,138.54,2020-02-04
food,panera bread soup,49.66,2022-04-08
food,local farmers market,59.71,2022-12-01
food,burger king whopper,10.52,2022-09-01
food,mcdonald's combo meal,11.57,2021-06-06
food,starbucks latte,81.64,2022-03-01
food,mcdonald's combo meal,20.71,2021-08-01
food,chipotle burrito bowl,62.12,2021-12-18
food,subway italian bmt,66.21,2021-05-17
food,burger king whopper,60.98,2020-12-12
food,domino's pepperoni pizza,149.19,2023-02-05
food,kfc chicken bucket,18.03,2020-03-19
food,panera bread soup,125.53,2022-07-12
food,local farmers market,15.96,2021-03-26
food,starbucks latte,78.64,2024-05-31
food,subway italian bmt,43.24,2022-11-26
food,starbucks latte,107.1,2023-07-11
food,subway italian bmt,5.41,2021-04-30
food,pizza hut cheese burst,89.56,2023-01-17
food,panda express orange chicken,24.98,2022-06-13
food,burger king whopper,83.68,2023-08-29
food,domino's pepperoni pizza,23.72,2022-02-03
food,subway italian bmt,82.12,2022-10-21
food,local farmers market,51.54,2024-12-25
food,burger king whopper,136.1,2020-08-22
food,mcdonald's combo meal,52.14,2022-01-27
food,burger king whopper,144.33,2024-08-13
food,starbucks latte,40.03,2024-12-14
food,mcdonald's combo meal,96.0,2024-12-04
food,subway italian bmt,119.35,2020-04-29
food,chipotle burrito bowl,79.71,2020-01-19
food,burger king whopper,137.81,2023-12-07
food,starbucks latte,70.56,2022-09-15
food,panera bread soup,131.54,2020-12-16
food,starbucks latte,66.86,2024-11-30
food,pizza hut cheese burst,103.7,2023-07-28
food,kfc chicken bucket,134.72,2022-10-05
food,panda express orange chicken,55.0,2021-07-18
food,kfc chicken bucket,15.64,2020-03-02
food,panera bread soup,126.55,2023-08-31
food,burger king whopper,4.76,2024-06-30
food,local farmers market,86.74,2023-12-11
food,kfc chicken bucket,124.5,2024-01-27
food,chipotle burrito bowl,132.11,2021-12-09
food,chipotle burrito bowl,100.06,2020-07-11
food,local farmers market,91.79,2020-10-17
food,panda express orange chicken,89.93,2021-06-30
food,panera bread soup,109.42,2024-12-10
food,domino's pepperoni pizza,51.45,2023-01-02
food,whole foods organic veggies,95.21,2023-03-03
food,whole foods organic veggies,129.94,2021-05-24
food,burger king whopper,22.75,2020-10-05
food,mcdonald's combo meal,115.4,2020-12-24
food,mcdonald's combo meal,33.59,2024-12-09
food,mcdonald's combo meal,78.37,2022-09-04
food,subway italian bmt,94.14,2021-07-02
food,pizza hut cheese burst,55.22,2021-10-30
food,starbucks latte,143.97,2020-09-09
food,starbucks latte,87.18,2023-02-11
food,kfc chicken bucket,60.36,2023-02-13
food,starbucks latte,51.62,2024-03-31
food,mcdonald's combo meal,13.09,2021-09-23
food,pizza hut cheese burst,98.22,2020-02-11
food,whole foods organic veggies,118.55,2021-10-18
food,pizza hut cheese burst,81.83,2024-07-03
food,panera bread soup,81.62,2024-11-22
food,panera bread soup,23.15,2020-12-04
food,starbucks latte,78.09,2023-12-03
food,burger king whopper,73.52,2024-12-27
food,mcdonald's combo meal,77.65,2022-12-07
food,mcdonald's combo meal,88.67,2021-12-25
food,burger king whopper,11.74,2021-05-04
food,chipotle burrito bowl,106.49,2024-06-21
food,subway italian bmt,39.69,2021-09-02
food,subway italian bmt,67.61,2021-07-14
food,panda express orange chicken,144.84,2024-04-09
food,whole foods organic veggies,77.5,2020-08-22
food,subway italian bmt,12.09,2024-08-17
food,burger king whopper,94.86,2023-11-21
food,whole foods organic veggies,76.11,2022-12-02
food,subway italian bmt,108.51,2024-01-25
food,chipotle burrito bowl,34.36,2023-06-06
food,chipotle burrito bowl,92.17,2020-05-18
transportation,car wash auto spa,264.43,2023-05-14
transportation,toll payment highway,169.01,2023-03-23
transportation,amtrak express,188.34,2020-08-15
transportation,taxi fare airport,177.15,2021-02-03
transportation,greyhound bus ticket,153.56,2022-05-13
transportation,shell gas station refill,67.66,2020-11-22
transportation,parking garage fee,270.31,2022-12-04
transportation,shell gas station refill,81.99,2023-03-03
transportation,bike rental service,150.06,2023-10-09
transportation,taxi fare airport,281.29,2023-04-09
transportation,amtrak express,18.47,2021-02-04
transportation,shell gas station refill,105.13,2021-06-28
transportation,greyhound bus ticket,279.57,2021-01-13
transportation,metro subway pass,242.2,2021-08-09
transportation,metro subway pass,116.31,2021-03-01
transportation,greyhound bus ticket,94.83,2024-12-07
transportation,shell gas station refill,97.84,2024-12-29
transportation,taxi fare airport,93.84,2021-02-14
transportation,car wash auto spa,167.97,2020-10-17
transportation,uber ride downtown,137.47,2023-12-19
transportation,shell gas station refill,138.81,2021-05-04
transportation,car wash auto spa,235.33,2022-11-13
transportation,uber ride downtown,239.01,2024-03-30
transportation,metro subway pass,268.63,2020-09-01
transportation,lyft pool to office,143.75,2022-09-18
transportation,toll payment highway,262.04,2022-09-29
transportation,exxonmobil gas top-up,249.12,2022-09-21
transportation,toll payment highway,93.66,2021-10-16
transportation,toll payment highway,263.65,2024-07-07
transportation,uber ride downtown,137.34,2023-01-27
transportation,bike rental service,94.31,2021-02-11
transportation,bike rental service,43.51,2022-09-10
transportation,metro subway pass,239.1,2022-07-06
transportation,toll payment highway,43.16,2021-03-07
transportation,car wash auto spa,56.03,2021-02-24
transportation,amtrak express,13.41,2021-05-09
transportation,lyft pool to office,254.56,2022-07-12
transportation,lyft pool to office,150.88,2022-06-15
transportation,amtrak express,75.03,2022-09-09
transportation,greyhound bus ticket,142.87,2022-01-16
transportation,bike rental service,223.52,2021-06-02
transportation,taxi fare airport,186.8,2023-09-22
transportation,metro subway pass,252.21,2024-08-17
transportation,parking garage fee,275.95,2023-08-03
transportation,amtrak express,212.27,2023-01-28
transportation,car wash auto spa,196.94,2024-11-27
transportation,uber ride downtown,249.06,2021-02-11
transportation,toll payment highway,244.3,2021-08-29
transportation,toll payment highway,90.53,2020-07-08
transportation,shell gas station refill,254.95,2022-02-18
transportation,parking garage fee,193.58,2024-01-23
transportation,taxi fare airport,49.81,2023-12-07
transportation,shell gas station refill,236.29,2021-10-01
transportation,car wash auto spa,219.26,2023-11-04
transportation,bike rental service,130.59,2023-04-10
transportation,shell gas station refill,281.62,2023-06-11
transportation,bike rental service,196.08,2024-12-12
transportation,toll payment highway,112.5,2024-01-02
transportation,toll payment highway,62.65,2024-08-07
transportation,amtrak express,212.46,2024-03-11
transportation,taxi fare airport,21.42,2022-05-20
transportation,exxonmobil gas top-up,3.96,2021-04-16
transportation,bike rental service,243.41,2021-03-06
transportation,bike rental service,274.36,2024-03-12
transportation,car wash auto spa,240.64,2024-11-30
transportation,lyft pool to office,52.13,2023-11-20
transportation,car wash auto spa,168.88,2020-07-23
transportation,car wash auto spa,75.38,2021-11-28
transportation,uber ride downtown,46.76,2022-02-26
transportation,uber ride downtown,270.64,2023-12-25
transportation,toll payment highway,212.59,2023-05-21
transportation,parking garage fee,70.56,2022-05-09
transportation,car wash auto spa,145.98,2022-05-12
transportation,car wash auto spa,270.11,2020-10-09
transportation,greyhound bus ticket,14.63,2024-08-11
transportation,taxi fare airport,112.26,2021-08-10
transportation,metro subway pass,290.91,2023-05-25
transportation,lyft pool to office,29.23,2023-09-27
transportation,uber ride downtown,181.03,2023-12-07
transportation,uber ride downtown,127.28,2024-03-06
transportation,lyft pool to office,262.92,2024-12-25
transportation,toll payment highway,264.67,2024-07-23
transportation,amtrak express,21.74,2023-11-09
transportation,parking garage fee,125.16,2021-10-05
transportation,toll payment highway,46.67,2022-12-27
transportation,metro subway pass,36.55,2020-11-10
transportation,parking garage fee,218.98,2022-01-15
transportation,lyft pool to office,92.55,2023-05-29
transportation,exxonmobil gas top-up,231.12,2024-09-04
transportation,lyft pool to office,277.87,2022-01-25
transportation,toll payment highway,46.38,2023-07-03
transportation,exxonmobil gas top-up,240.71,2021-10-11
transportation,greyhound bus ticket,158.26,2022-04-22
transportation,car wash auto spa,266.18,2020-01-19
transportation,amtrak express,291.05,2020-10-29
transportation,taxi fare airport,102.26,2021-11-05
transportation,parking garage fee,173.07,2021-02-17
transportation,car wash auto spa,113.73,2024-04-01
transportation,lyft pool to office,189.29,2021-10-17
transportation,greyhound bus ticket,233.19,2020-03-27
transportation,uber ride downtown,190.56,2022-06-15
transportation,parking garage fee,295.66,2023-05-03
transportation,amtrak express,89.7,2021-01-10
transportation,toll payment highway,19.41,2021-12-28
transportation,amtrak express,199.8,2020-07-11
transportation,taxi fare airport,84.87,2021-04-10
transportation,taxi fare airport,264.34,2024-05-05
transportation,lyft pool to office,133.51,2020-06-06
transportation,exxonmobil gas top-up,88.15,2021-05-16
transportation,toll payment highway,43.14,2023-12-31
transportation,toll payment highway,232.25,2022-11-08
transportation,toll payment highway,81.35,2024-08-21
transportation,metro subway pass,168.02,2020-05-14
transportation,exxonmobil gas top-up,180.53,2020-02-14
transportation,greyhound bus ticket,75.67,2023-01-22
transportation,parking garage fee,17.87,2022-05-22
transportation,toll payment highway,54.03,2024-06-03
transportation,lyft pool to office,118.44,2020-08-17
transportation,car wash auto spa,240.32,2020-04-29
transportation,lyft pool to office,155.3,2020-12-10
transportation,toll payment highway,237.46,2021-04-24
transportation,shell gas station refill,141.8,2023-01-15
transportation,exxonmobil gas top-up,42.55,2021-03-30
transportation,exxonmobil gas top-up,101.86,2024-06-15
transportation,lyft pool to office,245.57,2022-01-03
transportation,amtrak express,189.59,2023-03-09
transportation,metro subway pass,71.04,2021-07-20
transportation,metro subway pass,221.14,2020-10-08
transportation,bike rental service,199.86,2021-04-04
transportation,amtrak express,296.03,2023-03-30
transportation,exxonmobil gas top-up,162.28,2023-07-07
transportation,greyhound bus ticket,139.41,2020-07-11
transportation,parking garage fee,284.9,2023-10-03
transportation,greyhound bus ticket,116.62,2022-11-06
transportation,shell gas station refill,34.82,2021-03-20
transportation,toll payment highway,63.2,2021-07-30
transportation,shell gas station refill,46.3,2024-02-06
transportation,toll payment highway,252.75,2022-01-26
transportation,shell gas station refill,27.62,2024-06-07
transportation,uber ride downtown,125.1,2022-07-10
transportation,bike rental service,97.06,2022-04-23
transportation,taxi fare airport,247.61,2020-02-26
transportation,car wash auto spa,247.2,2023-03-08
transportation,greyhound bus ticket,94.84,2020-05-07
transportation,parking garage fee,112.61,2021-10-27
transportation,greyhound bus ticket,39.35,2022-09-23
transportation,car wash auto spa,101.94,2023-12-10
transportation,uber ride downtown,255.98,2023-03-29
transportation,parking garage fee,143.6,2024-06-08
transportation,metro subway pass,128.73,2023-09-11
transportation,parking garage fee,225.06,2022-11-27
transportation,shell gas station refill,91.51,2020-02-25
transportation,taxi fare airport,91.34,2023-12-06
transportation,lyft pool to office,178.78,2020-10-21
transportation,taxi fare airport,292.46,2020-02-28
transportation,amtrak express,291.38,2022-11-13
transportation,amtrak express,292.6,2022-11-03
transportation,lyft pool to office,283.01,2023-10-14
transportation,uber ride downtown,94.19,2021-08-20
transportation,metro subway pass,270.46,2022-12-26
transportation,car wash auto spa,31.25,2021-06-13
transportation,exxonmobil gas top-up,39.33,2023-12-11
transportation,amtrak express,120.23,2024-07-18
transportation,metro subway pass,80.95,2021-01-11
transportation,shell gas station refill,26.25,2023-09-22
transportation,shell gas station refill,152.62,2022-09-27
transportation,parking garage fee,47.37,2020-12-11
transportation,toll payment highway,81.21,2023-01-04
transportation,car wash auto spa,33.57,2022-05-20
transportation,greyhound bus ticket,218.61,2023-02-06
transportation,bike rental service,56.88,2022-10-27
transportation,taxi fare airport,42.22,2021-07-20
transportation,shell gas station refill,216.62,2022-02-24
transportation,greyhound bus ticket,117.06,2024-06-27
transportation,lyft pool to office,77.62,2024-08-10
transportation,greyhound bus ticket,247.53,2023-06-23
transportation,uber ride downtown,144.34,2024-11-18
transportation,toll payment highway,213.7,2021-05-20
transportation,bike rental service,42.99,2021-11-28
transportation,metro subway pass,172.36,2024-02-24
transportation,bike rental service,213.88,2024-03-08
transportation,amtrak express,168.12,2020-12-02
transportation,parking garage fee,90.36,2024-04-27
transportation,amtrak express,233.74,2020-09-17
transportation,taxi fare airport,163.96,2022-04-18
transportation,parking garage fee,17.46,2022-05-21
transportation,bike rental service,193.23,2021-10-04
transportation,taxi fare airport,143.1,2022-11-09
transportation,parking garage fee,66.48,2024-03-08
transportation,uber ride downtown,25.59,2023-10-29
transportation,bike rental service,160.06,2020-07-10
transportation,lyft pool to office,95.27,2020-05-02
transportation,toll payment highway,295.59,2020-03-03
transportation,toll payment highway,246.62,2020-09-15
transportation,exxonmobil gas top-up,212.2,2020-04-24
transportation,taxi fare airport,265.05,2021-03-26
transportation,taxi fare airport,46.79,2024-10-10
transportation,uber ride downtown,235.08,2021-05-24
transportation,bike rental service,5.1,2024-09-18
transportation,amtrak express,179.67,2024-03-20
transportation,shell gas station refill,210.51,2024-03-06
transportation,amtrak express,34.11,2022-09-09
transportation,lyft pool to office,153.23,2021-08-21
transportation,lyft pool to office,8.09,2024-02-02
transportation,metro subway pass,246.14,2023-05-10
transportation,car wash auto spa,222.64,2022-05-03
transportation,uber ride downtown,270.86,2020-10-04
transportation,exxonmobil gas top-up,143.2,2022-02-22
transportation,uber ride downtown,25.2,2024-11-26
transportation,toll payment highway,284.01,2023-12-06
transportation,taxi fare airport,175.47,2022-12-03
transportation,metro subway pass,290.73,2020-06-09
transportation,car wash auto spa,118.17,2021-08-15
transportation,car wash auto spa,71.7,2021-05-25
transportation,parking garage fee,81.63,2024-10-02
transportation,exxonmobil gas top-up,124.92,2023-05-20
transportation,uber ride downtown,8.55,2023-11-24
transportation,metro subway pass,106.86,2022-09-19
transportation,taxi fare airport,283.05,2023-08-12
transportation,greyhound bus ticket,159.8,2021-08-28
transportation,toll payment highway,23.4,2023-04-08
transportation,taxi fare airport,117.18,2021-06-13
transportation,lyft pool to office,283.73,2022-02-04
transportation,greyhound bus ticket,270.82,2021-11-24
transportation,toll payment highway,247.29,2024-09-12
transportation,uber ride downtown,148.44,2024-09-14
transportation,shell gas station refill,153.94,2021-08-15
transportation,bike rental service,230.08,2022-03-19
transportation,shell gas station refill,115.3,2021-10-06
transportation,shell gas station refill,263.58,2024-08-25
transportation,parking garage fee,41.62,2020-12-31
transportation,bike rental service,284.26,2022-02-06
transportation,bike rental service,84.18,2023-07-04
transportation,taxi fare airport,47.21,2023-10-08
transportation,parking garage fee,62.53,2021-08-29
transportation,uber ride downtown,63.39,2023-03-07
transportation,greyhound bus ticket,170.27,2024-08-07
transportation,uber ride downtown,192.94,2023-12-16
transportation,exxonmobil gas top-up,214.26,2020-03-11
transportation,shell gas station refill,278.05,2020-08-10
transportation,shell gas station refill,217.51,2021-05-31
transportation,uber ride downtown,165.81,2022-11-02
transportation,greyhound bus ticket,280.38,2024-01-30
transportation,bike rental service,205.2,2024-06-16
transportation,shell gas station refill,72.44,2023-10-29
transportation,lyft pool to office,142.34,2021-10-28
transportation,taxi fare airport,131.09,2022-02-20
transportation,uber ride downtown,3.08,2021-03-26
transportation,lyft pool to office,173.29,2024-03-26
transportation,lyft pool to office,110.39,2021-08-25
transportation,car wash auto spa,129.89,2020-09-11
transportation,exxonmobil gas top-up,244.8,2021-09-27
transportation,metro subway pass,74.54,2020-02-12
transportation,lyft pool to office,19.52,2021-03-19
transportation,exxonmobil gas top-up,205.23,2024-08-12
transportation,uber ride downtown,100.53,2022-03-11
transportation,parking garage fee,68.76,2024-04-06
transportation,parking garage fee,104.48,2021-04-20
transportation,amtrak express,23.85,2021-04-22
transportation,amtrak express,193.72,2020-01-09
transportation,parking garage fee,59.6,2020-09-18
transportation,toll payment highway,14.51,2024-09-12
transportation,greyhound bus ticket,262.75,2024-07-02
transportation,car wash auto spa,188.92,2021-08-19
transportation,parking garage fee,62.03,2024-12-13
transportation,lyft pool to office,123.22,2024-04-26
transportation,metro subway pass,295.03,2023-10-08
transportation,lyft pool to office,72.78,2023-05-19
transportation,amtrak express,100.85,2020-05-25
transportation,greyhound bus ticket,69.94,2021-07-19
transportation,lyft pool to office,160.63,2020-01-12
transportation,car wash auto spa,280.0,2023-10-28
transportation,toll payment highway,122.17,2020-03-08
transportation,amtrak express,49.55,2020-09-17
transportation,parking garage fee,105.97,2024-09-08
transportation,uber ride downtown,294.7,2022-12-29
transportation,taxi fare airport,54.7,2022-01-18
transportation,greyhound bus ticket,287.68,2022-06-06
transportation,lyft pool to office,163.01,2020-04-23
transportation,car wash auto spa,296.04,2023-05-05
transportation,uber ride downtown,103.91,2023-01-05
transportation,lyft pool to office,230.84,2020-04-03
transportation,taxi fare airport,189.94,2023-05-22
transportation,lyft pool to office,101.15,2020-09-23
transportation,amtrak express,294.51,2023-02-10
transportation,taxi fare airport,171.12,2020-12-03
transportation,exxonmobil gas top-up,162.05,2023-08-13
transportation,parking garage fee,46.08,2023-09-03
transportation,shell gas station refill,112.54,2022-05-17
transportation,taxi fare airport,246.56,2021-07-13
transportation,parking garage fee,110.66,2023-10-22
transportation,amtrak express,175.31,2022-05-02
transportation,shell gas station refill,258.78,2022-08-11
transportation,shell gas station refill,45.61,2020-06-08
transportation,uber ride downtown,87.87,2020-12-28
transportation,greyhound bus ticket,287.95,2022-11-25
transportation,exxonmobil gas top-up,118.49,2022-07-01
transportation,exxonmobil gas top-up,157.38,2021-06-06
transportation,amtrak express,29.42,2023-02-19
transportation,lyft pool to office,238.71,2023-05-31
healthcare,vaccination clinic fee,567.93,2023-11-29
healthcare,health insurance premium,744.99,2024-12-13
healthcare,health insurance premium,37.61,2024-12-11
healthcare,therapist consultation,97.89,2021-06-20
healthcare,cvs pharmacy purchase,549.3,2024-04-12
healthcare,cvs pharmacy purchase,263.49,2020-03-12
healthcare,physiotherapy session,472.07,2023-05-02
healthcare,physiotherapy session,99.7,2024-01-16
healthcare,chiropractor spinal adjustment,379.72,2021-10-27
healthcare,walgreens vitamin c,141.73,2023-03-17
healthcare,vaccination clinic fee,979.29,2024-07-04
healthcare,chiropractor spinal adjustment,737.44,2020-05-26
healthcare,health insurance premium,552.48,2022-08-29
healthcare,blood test labcorp,154.32,2023-05-26
healthcare,health insurance premium,507.74,2022-03-02
healthcare,blood test labcorp,262.5,2022-12-23
healthcare,cvs pharmacy purchase,243.05,2022-07-31
healthcare,urgent care copay,413.18,2023-08-16
healthcare,cvs pharmacy purchase,589.26,2024-06-18
healthcare,blood test labcorp,231.87,2024-05-12
healthcare,doctor's office visit,962.02,2023-04-22
healthcare,doctor's office visit,749.72,2024-10-23
healthcare,health insurance premium,996.76,2024-08-08
healthcare,walgreens vitamin c,355.7,2021-03-15
healthcare,optometrist eye exam,459.91,2021-04-18
healthcare,blood test labcorp,542.01,2021-06-23
healthcare,cvs pharmacy purchase,791.97,2024-12-24
healthcare,physiotherapy session,989.48,2020-06-06
healthcare,cvs pharmacy purchase,436.54,2021-03-30
healthcare,chiropractor spinal adjustment,333.39,2022-12-30
healthcare,blood test labcorp,969.73,2024-05-10
healthcare,optometrist eye exam,750.81,2022-11-21
healthcare,therapist consultation,226.74,2023-06-15
healthcare,urgent care copay,183.16,2022-03-10
healthcare,physiotherapy session,384.92,2020-10-08
healthcare,therapist consultation,752.53,2020-01-23
healthcare,chiropractor spinal adjustment,622.16,2020-12-11
healthcare,blood test labcorp,753.72,2024-04-07
healthcare,optometrist eye exam,714.65,2022-09-04
healthcare,doctor's office visit,476.82,2021-06-03
healthcare,doctor's office visit,883.61,2021-11-07
healthcare,therapist consultation,500.74,2023-06-12
healthcare,physiotherapy session,865.49,2022-02-01
healthcare,therapist consultation,956.1,2021-09-22
healthcare,health insurance premium,136.02,2022-11-12
healthcare,cvs pharmacy purchase,572.03,2022-02-22
healthcare,doctor's office visit,667.93,2020-11-16
healthcare,blood test labcorp,835.54,2021-02-14
healthcare,cvs pharmacy purchase,689.35,2020-09-09
healthcare,physiotherapy session,733.65,2022-08-18
healthcare,dentist cleaning appointment,642.38,2023-03-11
healthcare,physiotherapy session,784.96,2021-11-25
healthcare,urgent care copay,769.68,2022-02-18
healthcare,blood test labcorp,118.98,2020-01-02
healthcare,health insurance premium,58.16,2023-03-18
healthcare,urgent care copay,592.56,2023-02-11
healthcare,dentist cleaning appointment,301.38,2024-11-07
healthcare,chiropractor spinal adjustment,897.1,2021-08-13
healthcare,chiropractor spinal adjustment,990.08,2023-04-12
healthcare,dentist cleaning appointment,759.97,2023-07-14
healthcare,optometrist eye exam,965.16,2020-02-05
healthcare,physiotherapy session,547.76,2023-12-29
healthcare,chiropractor spinal adjustment,544.2,2020-05-28
healthcare,urgent care copay,23.07,2021-02-27
healthcare,optometrist eye exam,678.4,2022-12-31
healthcare,walgreens vitamin c,690.28,2021-01-23
healthcare,chiropractor spinal adjustment,191.43,2023-01-03
healthcare,walgreens vitamin c,891.05,2023-04-01
healthcare,therapist consultation,360.6,2020-07-28
healthcare,vaccination clinic fee,568.54,2022-12-09
healthcare,doctor's office visit,610.69,2022-07-12
healthcare,therapist consultation,672.28,2020-04-09
healthcare,doctor's office visit,340.49,2021-06-28
healthcare,doctor's office visit,247.37,2022-09-18
healthcare,physiotherapy session,990.58,2023-02-02
healthcare,walgreens vitamin c,970.9,2022-10-19
healthcare,urgent care copay,240.46,2024-05-01
healthcare,health insurance premium,572.12,2021-08-13
healthcare,urgent care copay,481.17,2024-09-02
